Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
CMPVF,CompuGroup Medical SE,71,0.007042254,3493.621882,37.87,0.266695114,0.038918249
CMSQF,Computershare Ltd.,11,0.029075107,5949.68,21.24,0.617425056,0.149358782
CMTL,Comtech Telecommunications Corp.,33.06,0.011820331,825.56064,28.67,0.346860909,1.283438039
CNSWF,"Constellation Software, Inc.",1092.09,0.003662823,23143.57128,69.3,0.253826792,0.824941613
COHU,"Cohu, Inc.",21.715,0.010652463,929.72298,-12.82,-0.141617985,1.484988875
CPSI,"Computer Programs & Systems, Inc.",29.63,0.013395847,428.67016,20.32,0.274254371,0.630446117
CRWRY,Craneware Plc,,N/A,N/A,N/A,N/A,N/A
CSCO,"Cisco Systems, Inc.",46.275,0.029882604,198685.228,17.89,0.540874672,1.321846673
CSGS,"CSG Systems International, Inc.",51.75,0.016862448,1735.98698,20.02,0.34458727,0.938714377
CSIOF,"Casio Computer Co., Ltd.",20.73,0.021060556,5028.45763,22.59,0.47584232,-31.79058198
CSPI,"CSP, Inc.",14.25,0.042105263,59.37975,-56.03,-2.429149798,0.558945283
CSSXF,China Singyes Solar Technologies Holdings Ltd.,0.0793,N/A,199.921644,-0.33,N/A,-1.2997065
CSU.TO,Constellation Software Inc.,1457.08,0.36,30370,91.2,20.16,N/A
CSVI,"Computer Services, Inc.",54,0.013888889,1499.148,31.09,0.431778929,-0.013665133
CSXXY,carsales.com Ltd.,24.8,0.025294355,3041.1496,30.96,0.783048309,0.786096557
CSYJF,CSE Global Ltd.,0.3957,0.069497094,200.996013,13.1,0.910596026,0.076916091
CSYJY,CSE Global Ltd.,3.37,0.052174481,171.179319,11.15,0.581634138,-0.104660586
CTS,CTS Corp.,29.29,0.00538358,968.93144,26.51,0.144835702,1.366724657
CY,Cypress Semiconductor Corp.,23.42,0.018787361,8679.2178,213.31,4.010938924,0.449404288
DAKT,"Daktronics, Inc.",5.945,0.04,270.888,1608.11,64.86486486,1.058303216
DASTF,Dassault Systèmes SA,169.85,0.003826906,43957.79622,64.01,0.244968719,0.071310202
DASTY,Dassault Systèmes SA,168.15,0.004354445,43517.83005,63.37,0.275947841,0.8009307
DBD,"Diebold Nixdorf, Inc.",8.42,N/A,655.817344,-1.89,N/A,2.669743231
DCHIY,Digital China Holdings Ltd.,2.65,0.01490566,885.6194,563.83,8.404255319,-0.026067008
DNACF,"DeNA Co., Ltd.",14,0.025939122,1883.304248,-4.58,-0.118881629,0.180187988
DOX,Amdocs Ltd.,73.195,0.015445062,9947.59513,20.21,0.314995441,0.726850983
DXC,DXC Technology Co.,29.25,0.026973684,7713.1184,-4.69,-0.131439746,2.021041334
EBIX,"Ebix, Inc.",33.71,0.008500992,1076.20384,12.33,0.109765468,2.046875311
EGHSF,Enghouse Systems Ltd.,40,0.007527306,2199.08,41,0.308590982,0.276059592
ELUXF,Electrolux AB,23.8,0.357142857,6840.064832,25.95,9.267335369,-0.038252544
ELUXY,Electrolux AB,44.57,0.04002468,6222.086589,24.3,0.972470563,0.999019747
ENGH.TO,Enghouse Systems Limited,54.08,0.81,2940,41.6,37.98,N/A
ENR,"Energizer Holdings, Inc.",51.38,0.023359938,3566.77321,420.11,9.811937858,1.239266446
ENS,EnerSys,74.91,0.009349539,3167.67483,20.25,0.189199416,1.26591138
ERIC,Telefonaktiebolaget LM Ericsson,8.915,0.012082867,27257.932,120.73,1.462059621,1.038127559
ERIXF,Telefonaktiebolaget LM Ericsson,9,0.008664611,29827.404,121.95,1.056659845,0.591044089
ESE,"ESCO Technologies, Inc.",96.76,0.003228084,2576.28957,34,0.112446412,1.096117058
ESP,Espey Manufacturing & Electronics Corp.,22.55,0.044742729,53.66235,22.65,1.004217714,0.310954377
ET.TO,Evertz Technologies Limited,17.77,0.0409,1360,18.5,74.23,N/A
EUTLF,Eutelsat Communications SA,13.5,0.094074074,3138.174725,8.47,0.796388035,0.1694159
EVSBY,EVS Broadcast Equipment SA,6.37,0.043579278,91.263143,N/A,N/A,0
EVTC,"EVERTEC, Inc.",33.31,0.005797101,2481.447,24.4,0.146498682,0.978736774
EVTZF,Evertz Technologies Ltd.,13.21,0.041018429,1013.02206,18.24,0.748209671,-0.008567115
FDGRY,,,N/A,N/A,N/A,N/A,N/A
FDRVF,First Derivatives Plc,39.04,0.007120902,1059.943808,57.46,0.409184575,0.057739012
FELTF,"Fuji Electric Co., Ltd.",39.8,0.018487486,5685.177151,18.24,0.337152653,N/A
FICO,Fair Isaac Corp.,409.48,N/A,12245.65776,57.33,N/A,1.109359915
FJTSF,Fujitsu Ltd.,100.76,0.014605041,20422.3022,14.53,0.212141432,-0.126537671
FLIR,"FLIR Systems, Inc.",58.31,0.011514006,7806.36307,29.52,0.339017356,1.259884284
FORTY,Formula Systems (1985) Ltd.,71.1,0.008509142,1087.42473,26.82,0.230502534,0.465259969
FSOYF,F-Secure Oyj,3.18,N/A,501.763474,138.26,N/A,0.171449054
FTV,Fortive Corp.,75.81,0.003646308,25801.44,38.01,0.140371986,1.182174503
FUWAF,"Furukawa Electric Co., Ltd.",25.29,0.0616,1640,N/A,33.53,N/A
FUWAY,"Furukawa Electric Co., Ltd.",11.78,N/A,1660.679516,10.17,N/A,-0.334037094
GLW,"Corning, Inc.",27.96,0.028278544,21603.03612,25.25,0.7224781,1.379987205
GREZF,"GREE, Inc.",4.1,2.43902439,945.515071,21.61,52.71481286,-0.171718695
GRMN,Garmin Ltd.,96.59,0.022442641,18974.18043,19.25,0.446579876,0.866672473
GSB,"GlobalSCAPE, Inc.",9.64,0.00466805,181.473,N/A,N/A,0.767067545
GTOFF,Gemalto Holding BV,56.4,N/A,N/A,N/A,N/A,N/A
GTOMY,Gemalto Holding BV,28.11,N/A,N/A,N/A,N/A,N/A
GYUAF,GS Yuasa Corp.,20.55,0.022262754,1667.332963,14.41,0.32078221,0.014600166
HIMX,"Himax Technologies, Inc.",4.96,N/A,859.006045,-63.24,N/A,1.371132712
HNHPF,"Hon Hai Precision Industry Co., Ltd.",5.55,0.04581982,76931.41892,9.15,0.419291014,1.098477536
HOCPF,HOYA Corp.,96.1,0.008613706,36152.29203,32.04,0.276008534,-0.183893552
HPE,Hewlett-Packard Enterprise Co.,14.18,0.031098825,18712.1699,18.11,0.574565884,1.481230437
HPHTF,Hamamatsu Photonics KK,41.73,0.958543015,6460.347825,37.1,35.55871633,0.026614431
HPQ,"HP, Inc.",22.7,0.028303887,32900.2216,10.9,0.307647991,1.237921345
HPS.A.TO,,,N/A,N/A,N/A,N/A,N/A
HRELF,"Haier Electronics Group Co., Ltd.",2.95,0.128813559,8283.866881,14.33,1.846452867,0.199801047
HRS,Harris Corp.,189.13,0.013879342,22341.17038,24.92,0.345808797,-0.210210477
HTHIF,Hitachi Ltd.,38.87,0.021296043,37557.64175,21.16,0.450711746,0.289113335
HTHIY,Hitachi Ltd.,74.86,0.019109017,36166.26012,5.88,0.112286867,0.870108249
HURC,"Hurco Cos., Inc.",31.25,0.014949109,215.959788,12.06,0.182936323,0.891259909
HXGBF,Hexagon AB,56.2,0.012033344,20655.6918,26.11,0.314136911,0.047196864
HXGBY,Hexagon AB,58.31,0.011450866,20452.64067,26.3,0.301145589,1.301184227
IBIDF,"IBIDEN Co., Ltd.",24.13,0.013316171,3371.837402,30.17,0.401699206,0.41808719
IBM,International Business Machines Corp.,149.84,0.042520831,133926.0271,14.09,0.604823538,1.008410448
IFNNF,Infineon Technologies AG,23.53,0.022949426,29292.9676,30.46,0.698938649,0.780586951
IFNNY,Infineon Technologies AG,23.69,0.025647953,29492.1548,30.66,0.786435413,1.878237276
IIJI,Internet Initiative Japan Inc.,10.05,N/A,N/A,N/A,N/A,N/A
INFY,Infosys Ltd.,11.41,0.023125,48378.3776,22.4,0.515806008,0.588324087
INTC,Intel Corp.,64.335,0.019251337,279929.65,13.45,0.2634385,1.263290524
INTU,"Intuit, Inc.",297.72,0.006440048,78414.88068,48.95,0.319120937,1.202531315
ISDR,Issuer Direct Corp.,12.128,N/A,45.80388,68.75,N/A,0.054170062
ITRN,Ituran Location & Control Ltd.,25.73,0.035918991,548.735177,14.62,0.534394542,0.446744369
ITTOF,ITOCHU Techno-Solutions Corp.,23.2,0.021217491,5359.982258,20.56,0.436272092,0
JBL,"Jabil, Inc.",37.24,0.008416623,5782.4618,28.06,0.241090936,1.533015716
JCOM,"j2 Global, Inc.",95.2,0.009353565,4688.8006,20.85,0.197152245,1.096227073
JCS,"Communications Systems, Inc.",6.73,0.011940299,62.1827,15.81,0.186523665,0.257372541
JEHLY,Johnson Electric Holdings Ltd.,17.71,0.032701129,1582.26453,5.1,0.166778114,0.328745928
JELCF,Johnson Electric Holdings Ltd.,2.23,0.029183686,1992.3489,6.42,0.18738733,-0.12084815
JNPR,"Juniper Networks, Inc.",24.14,0.03125,8140.07424,23.81,0.749654764,1.063035863
KACPF,,,N/A,N/A,N/A,N/A,N/A
